物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
日神デュオステージ両国,東京都墨田区本所１,"築15年
10階建","築15年
10階建",15,10.3,2K,30.27,0.3402708952758507,都営大江戸線/蔵前駅 歩12分,12.0,東京メトロ銀座線/浅草駅 歩16分,16.0,ＪＲ総武線/両国駅 歩6分,6.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,蔵前,0,https://suumo.jp/chintai/jnc_000085874709/?bc=100349749012,アエラス綾瀬店 (株)アエラス.PR
コンフォリア・リヴ根岸二丁目,東京都台東区根岸２,"築2年
13階建","築2年
13階建",2,10.8,2K,25.11,0.4301075268817205,ＪＲ山手線/鶯谷駅 歩3分,3.0,ＪＲ京浜東北線/日暮里駅 歩9分,9.0,東京メトロ日比谷線/入谷駅 歩10分,10.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,鶯谷,0,https://suumo.jp/chintai/jnc_000077249866/?bc=100349099175,(株)Vision秋葉原店
東京メトロ半蔵門線 押上駅 7階建 築4年,東京都墨田区業平４,"築4年
7階建","築4年
7階建",4,12.2,2K,32.82,0.3717245581962218,東京メトロ半蔵門線/押上駅 歩4分,4.0,都営浅草線/押上駅 歩4分,4.0,東武伊勢崎線/とうきょうスカイツリー駅 歩14分,14.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,押上,0,https://suumo.jp/chintai/jnc_000085791701/?bc=100348931341,いい部屋ネット大東建託リーシング(株)池袋東口店
アイル押上ノルド　ドゥーエ,東京都墨田区東向島２,"築2年
9階建","築2年
9階建",2,12.2,2K,32.44,0.376078914919852,東武伊勢崎線/曳舟駅 歩3分,3.0,京成押上線/京成曳舟駅 歩7分,7.0,東京メトロ半蔵門線/押上駅 歩8分,8.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,曳舟,0,https://suumo.jp/chintai/jnc_000085670614/?bc=100348059609,YELL HOME (株)エスプリ
ＪＲ総武線 小岩駅 2階建 築35年,東京都葛飾区細田５,"築35年
2階建","築35年
2階建",35,6.5,2K,32.18,0.201988812927284,ＪＲ総武線/小岩駅 歩13分,13.0,京成本線/京成小岩駅 歩11分,11.0,北総線/新柴又駅 歩20分,20.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085848528/?bc=100349787496,(株)ハウスパートナー押上店
フラットフォー,東京都江戸川区東小松川３,"築19年
4階建","築19年
4階建",19,7.9,2K,35.91,0.2199944305207463,都営新宿線/船堀駅 歩16分,16.0,ＪＲ総武線/新小岩駅 バス17分 (バス停)東小松川小学校前 歩5分,17.0,東京メトロ東西線/葛西駅 バス20分 (バス停)東小松川小学校前 歩5分,20.0,,0,,0,,0,,0,,0,16.0,0,1,1,0,船堀,1,https://suumo.jp/chintai/jnc_000085885065/?bc=100349590262,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ総武線 小岩駅 7階建 築44年,東京都江戸川区西小岩１,"築44年
7階建","築44年
7階建",44,7.2,2K,28.0,0.2571428571428572,ＪＲ総武線/小岩駅 歩5分,5.0,京成本線/京成小岩駅 歩18分,18.0,京成本線/江戸川駅 歩23分,23.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,小岩,1,https://suumo.jp/chintai/jnc_000085440114/?bc=100349786739,アエラス西葛西店 (株)アエラス
山一西亀有ビル,東京都葛飾区西亀有１,"築50年
3階建","築50年
3階建",50,5.8,1K,25.4,0.2283464566929134,ＪＲ常磐線/亀有駅 歩18分,18.0,京成本線/お花茶屋駅 歩17分,17.0,,0.0,,0,,0,,0,,0,,0,17.0,1,1,1,1,亀有,0,https://suumo.jp/chintai/jnc_000013543890/?bc=100349848813,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ総武線 小岩駅 2階建 築46年,東京都江戸川区西小岩２,"築46年
2階建","築46年
2階建",46,6.0,2K,25.68,0.2336448598130841,ＪＲ総武線/小岩駅 歩11分,11.0,京成本線/京成小岩駅 歩22分,22.0,京成本線/江戸川駅 歩28分,28.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085848632/?bc=100349787156,ハウスコム東東京(株)亀有店
ＪＲ総武線 小岩駅 2階建 築46年,東京都江戸川区西小岩２,"築46年
2階建","築46年
2階建",46,6.0,2K,25.68,0.2336448598130841,ＪＲ総武線/小岩駅 歩11分,11.0,京成本線/京成小岩駅 歩22分,22.0,京成本線/江戸川駅 歩28分,28.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085871288/?bc=100349787155,大和エステート(株)D-ROOMセンター
ＪＲ常磐線 亀有駅 3階建 築26年,東京都足立区東和１,"築26年
3階建","築26年
3階建",26,6.7,2K,38.43,0.1743429612282071,ＪＲ常磐線/亀有駅 歩14分,14.0,東京メトロ千代田線/綾瀬駅 歩14分,14.0,,0.0,,0,,0,,0,,0,,0,14.0,1,1,1,1,亀有,0,https://suumo.jp/chintai/jnc_000085483634/?bc=100337703117,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ山手線 日暮里駅 12階建 築3年,東京都荒川区東日暮里５,"築3年
12階建","築3年
12階建",3,11.0,1DK,25.32,0.4344391785150079,ＪＲ山手線/日暮里駅 歩9分,9.0,ＪＲ京浜東北線/鶯谷駅 歩8分,8.0,ＪＲ常磐線/三河島駅 歩12分,12.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,日暮里,0,,いい部屋ネット大東建託リーシング(株)池袋東口店
ＯＲＭＥ　ＣＯＵＲＴ　ＮＩＰＰＯＲＩ　ＥＡＳＴ,東京都荒川区東日暮里５,"築3年
12階建","築3年
12階建",3,11.0,1DK,25.32,0.4344391785150079,ＪＲ山手線/鶯谷駅 歩8分,8.0,ＪＲ山手線/日暮里駅 歩10分,10.0,都電荒川線/荒川一中前駅 歩21分,21.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,鶯谷,0,,いい部屋ネット大東建託リーシング(株)池袋東口店
ＪＲ高崎線 尾久駅 3階建 築21年,東京都荒川区西尾久５,"築21年
3階建","築21年
3階建",21,7.9,1DK,32.91,0.2400486174415071,ＪＲ高崎線/尾久駅 歩9分,9.0,都電荒川線/荒川遊園地前駅 歩3分,3.0,都電荒川線/小台駅 歩4分,4.0,,0,,0,,0,,0,,0,3.0,0,1,0,0,尾久,0,https://suumo.jp/chintai/jnc_000026089025/?bc=100349866960,ハウス・トゥ・ハウス 日暮里店(株)せとや不動産
京成本線 堀切菖蒲園駅 3階建 新築,東京都葛飾区堀切２,"新築
3階建",築１年,1,8.5,1DK,31.07,0.2735757965883489,京成本線/堀切菖蒲園駅 歩8分,8.0,東武伊勢崎線/堀切駅 歩16分,16.0,東武伊勢崎線/鐘ヶ淵駅 歩32分,32.0,,0,,0,,0,,0,,0,8.0,0,1,1,0,堀切菖蒲園,1,https://suumo.jp/chintai/jnc_000085923668/?bc=100349906225,(株)ハウス・ディール
レピュア町屋レジデンス,東京都荒川区荒川４,"築3年
5階建","築3年
5階建",3,9.0,1K,25.33,0.3553099091985788,東京メトロ千代田線/町屋駅 歩6分,6.0,京成本線/新三河島駅 歩9分,9.0,ＪＲ常磐線/三河島駅 歩10分,10.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,町屋,0,https://suumo.jp/chintai/jnc_000084562032/?bc=100348346322,シャーメゾンショップ (株)ハウスパートナー綾瀬店
東京メトロ千代田線 町屋駅 3階建 築24年,東京都荒川区町屋１,"築24年
3階建","築24年
3階建",24,8.5,1DK,35.98,0.2362423568649249,東京メトロ千代田線/町屋駅 歩3分,3.0,京成本線/新三河島駅 歩15分,15.0,東京メトロ千代田線/西日暮里駅 歩27分,27.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,町屋,1,https://suumo.jp/chintai/jnc_000049422614/?bc=100345715272,(株)ハウスパートナー日暮里店
ＪＲ総武線 小岩駅 2階建 築49年,東京都江戸川区上一色２,"築49年
2階建","築49年
2階建",49,5.37,2K,28.0,0.1917857142857142,ＪＲ総武線/小岩駅 歩14分,14.0,ＪＲ総武線/新小岩駅 歩26分,26.0,京成本線/京成小岩駅 バス17分 (バス停)上一色中学校前 歩7分,17.0,,0,,0,,0,,0,,0,14.0,1,1,1,1,小岩,0,https://suumo.jp/chintai/jnc_000085848759/?bc=100349786589,アエラス日暮里店 (株)アエラス.ER
ノワール金町,東京都葛飾区金町５,"築4年
3階建","築4年
3階建",4,7.6,1DK,24.01,0.3165347771761765,ＪＲ常磐線/金町駅 歩3分,3.0,京成金町線/京成金町駅 歩2分,2.0,,0.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,金町,0,https://suumo.jp/chintai/jnc_000085918134/?bc=100349856387,ホームメイトFC小岩駅北口店(株)コーユー
ＪＲ総武線 両国駅 7階建 築2年,東京都墨田区緑２,"築2年
7階建","築2年
7階建",2,8.9,1DK,27.93,0.3186537773003938,ＪＲ総武線/両国駅 歩15分,15.0,都営新宿線/菊川駅 歩10分,10.0,都営大江戸線/森下駅 歩12分,12.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,両国,0,https://suumo.jp/chintai/jnc_000076067981/?bc=100348521695,シャーメゾンショップ (株)ハウスパートナー金町店
クリスタル３,東京都荒川区東日暮里１,"築41年
7階建","築41年
7階建",41,8.8,2K,35.91,0.2450570871623503,東京メトロ日比谷線/三ノ輪駅 歩3分,3.0,東京メトロ日比谷線/南千住駅 歩14分,14.0,都電荒川線/三ノ輪橋駅 歩6分,6.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,三ノ輪,1,,いい部屋ネット大東建託リーシング(株)池袋東口店
ハウス　サーパス,東京都台東区浅草橋５,"築3年
4階建","築3年
4階建",3,9.1,1DK,25.42,0.3579858379228953,ＪＲ総武線/浅草橋駅 歩7分,7.0,つくばエクスプレス/新御徒町駅 歩8分,8.0,ＪＲ山手線/秋葉原駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,浅草橋,0,,いい部屋ネット大東建託リーシング(株)池袋東口店
ＪＲ山手線 田端駅 3階建 築62年,東京都荒川区東尾久４,"築62年
3階建","築62年
3階建",62,7.0,2DK,35.47,0.1973498731322244,ＪＲ山手線/田端駅 歩11分,11.0,日暮里・舎人ライナー/赤土小学校前駅 歩5分,5.0,都電荒川線/熊野前駅 歩12分,12.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,田端,1,https://suumo.jp/chintai/jnc_000084035890/?bc=100349822170,アエラス御茶ノ水店 (株)アエラス.GR
ＧＥＮＯＶＩＡ墨田八広ｓｋｙｇａｒｄｅｎ,東京都墨田区八広４,"築5年
5階建","築5年
5階建",5,8.0,1DK,25.74,0.3108003108003108,京成押上線/八広駅 歩9分,9.0,京成押上線/京成曳舟駅 歩12分,12.0,東武伊勢崎線/東向島駅 歩14分,14.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,八広,0,,ホームメイトFC小岩駅北口店(株)コーユー
ルフレ　プレミアム向島,東京都墨田区東向島６,"築4年
12階建","築4年
12階建",4,12.5,2DK,39.2,0.3188775510204081,東武伊勢崎線/東向島駅 歩3分,3.0,京成押上線/京成曳舟駅 歩10分,10.0,京成押上線/八広駅 歩11分,11.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,東向島,0,,ホームメイトFC小岩駅北口店(株)コーユー
中野ビル,東京都荒川区東日暮里４,"築35年
5階建","築35年
5階建",35,11.0,2DK,43.66,0.2519468621163536,ＪＲ山手線/日暮里駅 歩15分,15.0,ＪＲ山手線/鶯谷駅 歩10分,10.0,ＪＲ常磐線/三河島駅 歩15分,15.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,日暮里,0,https://suumo.jp/chintai/jnc_000075777307/?bc=100349652797,(株)エールーム錦糸町店
ヴィラ　アスカ,東京都葛飾区堀切３,"築27年
2階建","築27年
2階建",27,6.0,1DK,35.45,0.1692524682651622,京成本線/堀切菖蒲園駅 歩10分,10.0,京成本線/お花茶屋駅 歩11分,11.0,東武伊勢崎線/堀切駅 歩24分,24.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,堀切菖蒲園,0,https://suumo.jp/chintai/jnc_000085861244/?bc=100349396259,(株)CLCコーポレーション日暮里店
ＪＲ総武線 両国駅 14階建 築7年,東京都墨田区両国２,"築7年
14階建","築7年
14階建",7,9.2,1DK,25.05,0.3672654690618762,ＪＲ総武線/両国駅 歩5分,5.0,都営大江戸線/両国駅 歩10分,10.0,都営浅草線/浅草橋駅 歩12分,12.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,両国,0,https://suumo.jp/chintai/jnc_000085451702/?bc=100347021033,(株)エールーム錦糸町店
アンベリールマーロ北綾瀬I,東京都足立区加平１,"築4年
7階建","築4年
7階建",4,7.75,1DK,25.36,0.3055993690851735,東京メトロ千代田線/北綾瀬駅 歩8分,8.0,つくばエクスプレス/青井駅 歩16分,16.0,,0.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,北綾瀬,0,https://suumo.jp/chintai/jnc_000084501464/?bc=100342248644,ホームメイトFC亀戸店(株)EG Service
B-MARC,東京都墨田区東向島１,"築2年
2階建","築2年
2階建",2,9.4,1DK,32.39,0.2902130287125656,東武伊勢崎線/曳舟駅 歩9分,9.0,東武伊勢崎線/東向島駅 歩11分,11.0,京成押上線/京成曳舟駅 歩11分,11.0,,0,,0,,0,,0,,0,9.0,0,1,1,0,曳舟,1,https://suumo.jp/chintai/jnc_000085890813/?bc=100349699822,ハウスコム東東京(株)綾瀬店
東武伊勢崎線 東向島駅 2階建 築2年,東京都墨田区東向島１,"築2年
2階建","築2年
2階建",2,9.4,1K,32.39,0.2902130287125656,東武伊勢崎線/東向島駅 歩10分,10.0,東武伊勢崎線/曳舟駅 歩9分,9.0,京成押上線/京成曳舟駅 歩14分,14.0,,0,,0,,0,,0,,0,9.0,0,1,1,0,東向島,1,,ホームメイトFC小岩駅北口店(株)コーユー
グリーンルーフ,東京都葛飾区東水元２,"築23年
2階建","築23年
2階建",23,9.5,2DK,55.2,0.1721014492753623,ＪＲ常磐線/金町駅 歩16分,16.0,京成金町線/京成金町駅 歩18分,18.0,京成金町線/柴又駅 歩37分,37.0,,0,,0,,0,,0,,0,16.0,1,1,1,1,金町,0,https://suumo.jp/chintai/jnc_000085902784/?bc=100349710721,(株)アクセス上野店
リガレーヴ,東京都江戸川区東葛西５,"築13年
5階建","築13年
5階建",13,11.7,2DK,45.54,0.2569169960474308,東京メトロ東西線/葛西駅 歩11分,11.0,都営新宿線/一之江駅 バス10分 (バス停)浦安橋 歩8分,10.0,ＪＲ京葉線/葛西臨海公園駅 バス19分 (バス停)長島町交差点 歩9分,19.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,葛西,1,https://suumo.jp/chintai/jnc_000084580395/?bc=100341548118,(株)ハウスパートナー青戸店
ラ・ベリーテ西葛西,東京都江戸川区西葛西３,"築25年
10階建","築25年
10階建",25,9.0,1DK,35.6,0.2528089887640449,東京メトロ東西線/西葛西駅 歩6分,6.0,都営新宿線/船堀駅 歩25分,25.0,東京メトロ東西線/葛西駅 歩27分,27.0,,0,,0,,0,,0,,0,6.0,1,1,0,0,西葛西,1,https://suumo.jp/chintai/jnc_000073056249/?bc=100349899598,アパマンショップ西葛西駅前店山新開発(株)
ビッグコーポ西葛西,東京都江戸川区西葛西２,"築20年
8階建","築20年
8階建",20,12.2,2DK,49.49,0.2465144473631036,東京メトロ東西線/西葛西駅 歩10分,10.0,都営新宿線/船堀駅 歩25分,25.0,東京メトロ東西線/葛西駅 歩24分,24.0,,0,,0,,0,,0,,0,10.0,0,1,1,0,西葛西,1,https://suumo.jp/chintai/jnc_000085622329/?bc=100349892245,賃貸スマイル(株)西葛西店
ワンリーフ,東京都台東区竜泉２,"築8年
4階建","築8年
4階建",8,9.6,1DK,33.15,0.2895927601809955,東京メトロ日比谷線/三ノ輪駅 歩4分,4.0,ＪＲ常磐線/南千住駅 歩16分,16.0,ＪＲ山手線/鶯谷駅 歩20分,20.0,,0,,0,,0,,0,,0,4.0,0,1,0,0,三ノ輪,0,https://suumo.jp/chintai/jnc_000085853443/?bc=100349680080,アエラス葛西店 (株)アエラス.GR
ウィル篠崎,東京都江戸川区篠崎町１,"築36年
4階建","築36年
4階建",36,9.0,2SDK,52.0,0.173076923076923,都営新宿線/篠崎駅 歩5分,5.0,ＪＲ総武線/小岩駅 バス17分 (バス停)本郷花街道 歩2分,17.0,都営新宿線/瑞江駅 バス23分 (バス停)本郷 歩2分,23.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,篠崎,1,https://suumo.jp/chintai/jnc_000066764945/?bc=100349805717,(株)ROOTS
東武伊勢崎線 五反野駅 6階建 築33年,東京都足立区弘道１,"築33年
6階建","築33年
6階建",33,7.2,2DK,44.52,0.1617250673854447,東武伊勢崎線/五反野駅 歩7分,7.0,つくばエクスプレス/青井駅 歩14分,14.0,東武伊勢崎線/梅島駅 歩18分,18.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,五反野,1,https://suumo.jp/chintai/jnc_000051006643/?bc=100349813174,アエラス西葛西店 (株)アエラス
ＪＲ山手線 秋葉原駅 15階建 築1年,東京都台東区浅草橋５,"築1年
15階建","築1年
15階建",1,11.4,1DK,25.52,0.4467084639498432,ＪＲ山手線/秋葉原駅 歩12分,12.0,ＪＲ総武線/浅草橋駅 歩8分,8.0,都営大江戸線/新御徒町駅 歩8分,8.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,秋葉原,0,,ホームメイトFC小岩駅北口店(株)コーユー
グランカーサ曳舟,東京都墨田区八広２,"築3年
9階建","築3年
9階建",3,9.1,1DK,25.73,0.3536727555382821,京成押上線/京成曳舟駅 歩10分,10.0,東武亀戸線/小村井駅 歩8分,8.0,東京メトロ半蔵門線/押上駅 歩19分,19.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,京成曳舟,0,https://suumo.jp/chintai/jnc_000085896445/?bc=100349699890,(株)REVE神田本店
京成押上線 京成曳舟駅 9階建 築3年,東京都墨田区八広２,"築3年
9階建","築3年
9階建",3,9.1,1DK,25.73,0.3536727555382821,京成押上線/京成曳舟駅 歩10分,10.0,東武亀戸線/小村井駅 歩8分,8.0,東武伊勢崎線/曳舟駅 歩16分,16.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,京成曳舟,0,https://suumo.jp/chintai/jnc_000085896452/?bc=100349723288,アイレントホーム(株)錦糸町店
AQUAS Will浅草,東京都台東区東浅草２,"築4年
8階建","築4年
8階建",4,8.5,1K,25.08,0.3389154704944179,東京メトロ日比谷線/三ノ輪駅 歩12分,12.0,東京メトロ銀座線/浅草駅 歩15分,15.0,ＪＲ常磐線/南千住駅 歩14分,14.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,三ノ輪,0,https://suumo.jp/chintai/jnc_000081843084/?bc=100349742153,(株)アインスホーム神田東口支店
maison S・E,東京都墨田区押上３,"築19年
3階建","築19年
3階建",19,9.5,1DK,32.19,0.2951227089158124,東京メトロ半蔵門線/押上駅 歩6分,6.0,都営浅草線/押上駅 歩6分,6.0,京成押上線/京成曳舟駅 歩10分,10.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,押上,0,https://suumo.jp/chintai/jnc_000085917308/?bc=100282583763,ソレイユ神田店(株)ソレイユ
メイクス上野,東京都台東区東上野６,"新築
14階建",築１年,1,11.05,1DK,25.28,0.4371044303797468,東京メトロ銀座線/稲荷町駅 歩7分,7.0,ＪＲ山手線/上野駅 歩10分,10.0,東京メトロ銀座線/田原町駅 歩9分,9.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,稲荷町,0,https://suumo.jp/chintai/jnc_000082004197/?bc=100345058224,アイレントホーム(株)錦糸町店
Leonis,東京都台東区清川１,"築4年
8階建","築4年
8階建",4,7.9,1K,26.32,0.3001519756838905,ＪＲ常磐線/南千住駅 歩13分,13.0,東京メトロ日比谷線/三ノ輪駅 歩19分,19.0,東京メトロ銀座線/浅草駅 バス8分 (バス停)東浅草 歩6分,8.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,南千住,0,https://suumo.jp/chintai/jnc_000050128909/?bc=100339698413,グランデ銀座店 (株)グランデ
ＪＲ総武線 小岩駅 5階建 築30年,東京都江戸川区西小岩１,"築30年
5階建","築30年
5階建",30,8.5,2DK,38.94,0.2182845403184386,ＪＲ総武線/小岩駅 歩1分,1.0,京成本線/京成小岩駅 歩19分,19.0,京成本線/江戸川駅 歩23分,23.0,,0,,0,,0,,0,,0,1.0,1,1,0,0,小岩,1,https://suumo.jp/chintai/jnc_000085848621/?bc=100349786614,ハウスコム東東京(株)北千住店
ドルフ水元,東京都葛飾区東水元２,"築31年
2階建","築31年
2階建",31,10.2,2DK,57.96,0.175983436853002,ＪＲ常磐線/金町駅 歩15分,15.0,京成金町線/京成金町駅 歩18分,18.0,,0.0,,0,,0,,0,,0,,0,15.0,1,1,1,1,金町,0,https://suumo.jp/chintai/jnc_000085912041/?bc=100336732932,ホームメイトFC小岩駅北口店(株)コーユー
東林ビル,東京都台東区台東２,"築13年
12階建","築13年
12階建",13,14.2,1DK,38.98,0.3642893791688045,ＪＲ山手線/秋葉原駅 歩8分,8.0,東京メトロ銀座線/末広町駅 歩8分,8.0,都営大江戸線/新御徒町駅 歩11分,11.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,秋葉原,0,https://suumo.jp/chintai/jnc_000085917275/?bc=100349861635,(株)ハウスパートナー青戸店
ディームス上野御徒町,東京都台東区台東３,"築3年
13階建","築3年
13階建",3,14.3,1LDK,30.89,0.4629329880220136,都営大江戸線/新御徒町駅 歩5分,5.0,東京メトロ日比谷線/仲御徒町駅 歩5分,5.0,ＪＲ山手線/上野駅 歩13分,13.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,新御徒町,0,https://suumo.jp/chintai/jnc_000084400891/?bc=100310950469,楽心(株)日暮里店
サンセジュール,東京都墨田区本所１,"築17年
6階建","築17年
6階建",17,11.9,1DK,35.12,0.3388382687927107,都営大江戸線/蔵前駅 歩7分,7.0,都営大江戸線/両国駅 歩8分,8.0,ＪＲ総武線/両国駅 歩15分,15.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,蔵前,0,https://suumo.jp/chintai/jnc_000085917332/?bc=100349872869,あさひ不動産(株)
リブリ・満開,東京都足立区舎人１,"築12年
3階建","築12年
3階建",12,7.6,1DK,34.78,0.2185163887291546,日暮里・舎人ライナー/舎人駅 歩2分,2.0,日暮里・舎人ライナー/見沼代親水公園駅 歩14分,14.0,東武伊勢崎線/竹ノ塚駅 バス13分 (バス停)西門寺橋 歩5分,13.0,,0,,0,,0,,0,,0,2.0,0,1,0,0,舎人,0,https://suumo.jp/chintai/jnc_000070111245/?bc=100349805009,(株)ROOTS
ルフォンプログレ蔵前ナチュール,東京都台東区三筋１,"築2年
12階建","築2年
12階建",2,12.2,1DK,26.34,0.463173880030372,都営浅草線/蔵前駅 歩5分,5.0,都営大江戸線/蔵前駅 歩8分,8.0,東京メトロ銀座線/田原町駅 歩9分,9.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,蔵前,0,https://suumo.jp/chintai/jnc_000085640587/?bc=100348180601,アエラス日暮里店 (株)アエラス.ER
ヴェリテ有賀,東京都台東区谷中３,"築21年
3階建","築21年
3階建",21,12.0,1DK,32.9,0.364741641337386,ＪＲ山手線/西日暮里駅 歩7分,7.0,東京メトロ千代田線/千駄木駅 歩5分,5.0,ＪＲ山手線/日暮里駅 歩8分,8.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,西日暮里,0,https://suumo.jp/chintai/jnc_000085887307/?bc=100349643405,そらうみリアルエステート(株)賃貸事業本部
ダイヤパレス梅島,東京都足立区梅田７,"築47年
5階建","築47年
5階建",47,7.5,2SDK,44.28,0.1693766937669376,東武伊勢崎線/梅島駅 歩5分,5.0,東武伊勢崎線/五反野駅 歩13分,13.0,東武伊勢崎線/西新井駅 歩18分,18.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,梅島,1,https://suumo.jp/chintai/jnc_000084562229/?bc=100341346864,(株)モノリス御徒町支店
ＧＲＡＮＰＡＳＥＯ森下,東京都墨田区千歳３,"築2年
9階建","築2年
9階建",2,11.2,1DK,26.26,0.4265041888804264,都営大江戸線/森下駅 歩3分,3.0,ＪＲ総武線/両国駅 歩9分,9.0,都営新宿線/浜町駅 歩16分,16.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,森下,0,,ホームメイトFC小岩駅北口店(株)コーユー
グランパセオ根岸,東京都台東区根岸１,"新築
13階建",築１年,1,12.5,1DK,30.3,0.4125412541254125,ＪＲ山手線/鶯谷駅 歩3分,3.0,東京メトロ日比谷線/入谷駅 歩7分,7.0,東京メトロ銀座線/上野駅 歩18分,18.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,鶯谷,0,https://suumo.jp/chintai/jnc_000083574745/?bc=100349744118,(株)Link Roomリンクルーム清澄白河本店
ＣＯＴＴＯＮＹ,東京都足立区東和４,"築4年
3階建","築4年
3階建",4,9.9,1DK,35.6,0.2780898876404494,ＪＲ常磐線/亀有駅 歩12分,12.0,東京メトロ千代田線/北綾瀬駅 歩19分,19.0,,0.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,亀有,1,https://suumo.jp/chintai/jnc_000085412926/?bc=100348146556,グランデ上野店 (株)グランデ
パークアクシス蔵前・春日通り,東京都台東区蔵前４,"築3年
13階建","築3年
13階建",3,18.7,2DK,41.18,0.4541039339485186,都営大江戸線/蔵前駅 歩3分,3.0,東京メトロ銀座線/田原町駅 歩6分,6.0,都営浅草線/浅草駅 歩10分,10.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,蔵前,0,https://suumo.jp/chintai/jnc_000085108469/?bc=100349893567,ハウスコム東東京(株)亀有店
パークアクシス住吉,東京都墨田区江東橋５,"築15年
7階建","築15年
7階建",15,13.8,1DK,39.18,0.3522205206738132,東京メトロ半蔵門線/住吉駅 歩6分,6.0,ＪＲ総武線/錦糸町駅 歩12分,12.0,都営新宿線/菊川駅 歩9分,9.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,住吉,0,https://suumo.jp/chintai/jnc_000085371431/?bc=100349828821,グランデ上野店 (株)グランデ
アルテシモ　クレルトルテ,東京都江東区亀戸６,"築2年
13階建","築2年
13階建",2,9.6,1DK,25.46,0.3770620581304006,ＪＲ総武線/亀戸駅 歩5分,5.0,東武亀戸線/亀戸水神駅 歩8分,8.0,都営新宿線/大島駅 歩12分,12.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,亀戸,0,https://suumo.jp/chintai/jnc_000085917379/?bc=100349856351,(株)ROOTS
Grande Festa南砂,東京都江東区南砂５,"築17年
4階建","築17年
4階建",17,9.6,1DK,38.0,0.2526315789473684,東京メトロ東西線/南砂町駅 歩12分,12.0,都営新宿線/西大島駅 歩24分,24.0,東京メトロ東西線/東陽町駅 歩23分,23.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,南砂町,1,https://suumo.jp/chintai/jnc_000085220477/?bc=100347050034,(株)ハウスパートナー押上店
