物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
プレミアムコート,東京都江戸川区本一色１,"築10年
3階建","築10年
3階建",10,10.0,1LDK,40.25,0.2484472049689441,ＪＲ総武線快速/新小岩駅 歩12分,12.0,ＪＲ総武線/小岩駅 歩31分,31.0,ＪＲ総武線/新小岩駅 歩12分,12.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,新小岩,1,,
都営新宿線 瑞江駅 3階建 築10年,東京都江戸川区南篠崎町２,"築10年
3階建","築10年
3階建",10,10.0,1LDK,40.95,0.2442002442002442,都営新宿線/瑞江駅 歩12分,12.0,都営新宿線/篠崎駅 歩24分,24.0,ＪＲ総武線/小岩駅 バス28分 (バス停)上鎌田 歩1分,28.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,瑞江,1,,
ファーストシーン新小岩レジーナ302号,東京都葛飾区西新小岩４,"築3年
3階建","築3年
3階建",3,4.9,ワンルーム,13.35,0.3670411985018727,ＪＲ総武線/新小岩駅 歩10分,10.0,ＪＲ総武線/平井駅 歩26分,26.0,京成押上線/京成立石駅 歩28分,28.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,新小岩,0,,
ＪＲ総武線 小岩駅 3階建 築8年,東京都江戸川区南小岩８,"築8年
3階建","築8年
3階建",8,12.8,1LDK,48.0,0.2666666666666666,ＪＲ総武線/小岩駅 歩6分,6.0,京成本線/京成小岩駅 歩15分,15.0,京成本線/江戸川駅 歩16分,16.0,,0,,0,,0,,0,,0,6.0,0,1,0,0,小岩,0,,
サンハイツアールII,東京都江戸川区北葛西１,"築30年
2階建","築30年
2階建",30,6.6,2K,32.03,0.2060568217296284,都営新宿線/船堀駅 歩10分,10.0,東京メトロ東西線/西葛西駅 歩25分,25.0,東京メトロ東西線/葛西駅 歩32分,32.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,船堀,0,,
サンフレール　B,東京都足立区六町２,"築9年
3階建","築9年
3階建",9,12.5,1LDK,45.04,0.2775310834813499,つくばエクスプレス/六町駅 歩5分,5.0,つくばエクスプレス/青井駅 歩21分,21.0,東京メトロ千代田線/北綾瀬駅 歩25分,25.0,,0,,0,,0,,0,,0,5.0,0,1,0,0,六町,0,,
都営新宿線 瑞江駅 3階建 築14年,東京都江戸川区東瑞江３,"築14年
3階建","築14年
3階建",14,7.4,1K,27.57,0.2684076895175916,都営新宿線/瑞江駅 歩8分,8.0,都営新宿線/一之江駅 歩17分,17.0,,0.0,,0,,0,,0,,0,,0,8.0,0,1,1,0,瑞江,1,,
ＪＲ総武線 浅草橋駅 地下1地上14階建 築12年,東京都台東区柳橋２,"築12年
地下1地上14階建","築12年
地下1地上14階建",12,9.7,1K,25.13,0.3859928372463191,ＪＲ総武線/浅草橋駅 歩6分,6.0,都営浅草線/蔵前駅 歩6分,6.0,都営大江戸線/両国駅 歩15分,15.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,浅草橋,0,,
コンフォリア浅草橋,東京都台東区柳橋２,"築12年
地下1地上14階建","築12年
地下1地上14階建",12,10.6,1K,25.11,0.4221425726802071,都営浅草線/浅草橋駅 歩5分,5.0,ＪＲ総武線/浅草橋駅 歩7分,7.0,都営浅草線/蔵前駅 歩8分,8.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,浅草橋,0,,
コ－ポオガワ,東京都葛飾区細田３,"築51年
3階建","築51年
3階建",51,5.2,2K,21.0,0.2476190476190476,京成本線/京成高砂駅 歩14分,14.0,京成押上線/青砥駅 歩19分,19.0,京成本線/京成小岩駅 歩22分,22.0,,0,,0,,0,,0,,0,14.0,1,1,1,1,京成高砂,0,,
